objectid,filename,cdmid,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,youtubeid,fileid,collectionid
sg008,DSC_5189.tif,,2. Papa Comes Home 11 p.m.,"AM Mutoscope & Biograph Co., N.Y.",1906,"From the perspective of the exterior of the home. An older man in formal wear standing in the doorway of a house. A young woman and young man, both in formal dress, stand behind him, facing each other. Text above the right-hand photograph reads "" NO. 164.""  Text below the right-hand photograph reads "" COPYRIGHT, 1906, BY AM. MUTOSCOPE &BIOGRAPH CO., N.Y. 2. PAPA COMES HOME 11 P.M."" Stereocard has heavy damage on the lefthand side; it is torn, scratched and stained.",Family; Domestic drama; Parenthood,unknown,University of Texas at Austin Paper Lab Class Collection,B3C1,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg009,DSC_5192.tif,,3. 12 p.m.- Freddie Starts to Go,"AM Mutoscope & Biograph Co., N.Y.",1906,"From the perspective of the exterior of the home. A young woman and young man stand in the doorway of a house facing each other. The young woman is smiling.  Text above the right-hand photograph reads "" NO. 164.""  Text below the right-hand photograph reads "" COPYRIGHT, 1906, BY AM. MUTOSCOPE &BIOGRAPH CO., N.Y.  3. 12 P.M.--FREDDIE STARTS TO GO.""  Stereocard has some damage on the lefthandside; it is torn and scratched.",Family; Domestic drama; Courtship,unknown,University of Texas at Austin Paper Lab Class Collection,B3C1,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg010,DSC_5194.tif,,5. 12.16 a.m. The Reason Why,"AM Mutoscope & Biograph Co., N.Y.",1906,"From the perspective of the exterior of the home. A young woman is seating hear the doorway and a young man is kneeling on the ground next to her. The young man is kissing the young woman on the cheek.  Text above the right-hand photograph reads "" NO. 164.""  Text below the right-hand photograph reads "" COPYRIGHT, 1906, BY AM. MUTOSCOPE &BIOGRAPH CO., N.Y.,  5. 12.16 A.M. THE REASON WHY.""  Steroscope has overall fading; the bottom left corner of the left-hand photograph is missing and there is scrathcing throuhgout the middle and left side of the photograph.",Family; Domestic drama; Courtship; Kissing,unknown,University of Texas at Austin Paper Lab Class Collection,B3C1,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg011,DSC_5197.tif,,8. 12.30 a.m. More Delay,"AM Mutoscope & Biograph Co., N.Y.",1906,"From the perspective of the exterior of the home.  A young woman sits on the steps to a doorway next to a young man, looking at each other.  The door behind them is open.  Text above the right-hand photograph reads "" NO. 164.""  Text below the right-hand photograph reads "" COPYRIGHT, 1906, BY AM. MUTOSCOPE &BIOGRAPH CO., N.Y., 8. 12:30 A.M. MORE DELAY.""  Stereocope has damage on the bottom lefthand side; it is torn and scratched.",Family; Domestic drama; Courtship,unknown,University of Texas at Austin Paper Lab Class Collection,B3C1,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg012,DSC_5200.tif,,15. 1.04 a.m. You to Bed,"AM Mutoscope & Biograph Co., N.Y.",1906,"From the perspective of the exterior of the home.  A young woman stands crying at the top of a stoop before an open doorway as her father points into the open doorway.  Text above the right-hand photograph reads "" NO. 164.""  Text below the right-hand photograph reads "" COPYRIGHT, 1906, BY AM. MUTOSCOPE &BIOGRAPH CO., N.Y., 15. 1.04 A.M. YOU TO BED.""  Stereoscope has damage on the lefthand side; it is scratched and a piece from another stereocard is stuck to it.",Family; Domestic drama; Parenthood,unknown,University of Texas at Austin Paper Lab Class Collection,B3C1,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg013,DSC_5204.tif,,"504B That ""Pesky"" Rat Again. Die kluge-Ratte schon wieder.","Littleton View Co., Publishers",1891,"Four people are in a room; a woman stands on a chair, holding up her skirts, while a man crawls on the floor in front of her, looking for a rat.  Two girls are seen trying to climb onto a table.  A chair behind the man has been knocked over.  Vertical text on the left-hand side reads "" Littleton View Co., Pulishers. Littleton, N.H.""  Vertical test on the right-hand side reads ""Sold only by Underwood & Underwood, Liverpool,-New York,-Chicago,-Toronto,-Ottawa,-Kas,-ElPaso, Tex.""  Text below the left-hand photograph reads ""Copyright 1891, by L[i]ttleton View Co.""  Text below the right-hand photograph reads ""504B  That ""Pesky"" Rat again.  Die kluge-Ratte schon wieder."" Stereocard does not have any notable damage, but has faded.",Rats; Family; Pests; Vermin,unknown,University of Texas at Austin Paper Lab Class Collection,B3C2,Image; Sepia photograph,image/TIFF,"English, German",,,,,PLC (Paper Lab Collection)
sg014,DSC_5207.tif,,44. How Very Great the Very Small Are.,unknown,undated,"A woman stands on a chair as another woman is on her hands and knees on the floor with a slipper (?) in her hand, about to attack a rat underneath the divan.  Vertical text on both the left- and right-hand sides reads ""WORLD SERIES"" which is framed in a green border with leaves on either side, underneath reads ""REPRODUCED FROM ORIGINAL STEREOSCOPIC PHOTOGRAPH.""  Stereocard is hand colored and has damage throughout; there is a tear to the top and bottom lefthand side, along with a crease that runs down the middle, through one of the photos.  There is also scratch near the middle.",Rats; Women; Pests; Vermin,unknown,University of Texas at Austin Paper Lab Class Collection,B3C8,Image; Hand-colored photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg015,DSC_5209.tif,,12905. That's a Good Boy.,B.W. Kilburn,1899,"A woman sits on a bed, looking mischievous, as she holds her hand out to a man at the foot of the bed.  He is leaning on the bedframe, looking worn out.  Vertical text on the right-hand side reads ""JAMES M. DAVIS, New York, St. Louis, Liverpool, Toronto, Sydney.""  Vertical text on the right-hand side reads "" Copyright 1899, B.W. Kilburn.""  Text below the right-had photograph reads "" 12905.  That's a good boy.""  The stereocard is in fair condition, with only a few minor scratches and stains that do not affect the photos.",Marriage; Married Life; Sex in marriage,unknown,University of Texas at Austin Paper Lab Class Collection,B3C6,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg015b,DSC_5210.tif,,12905.  That's a Good Boy.  (verso),B.W. Kilburn,1899,"Centered text reads "" Photographed and Published by
B.W. KILBURN. = Littleton N.H.""",Marriage; Married Life; Sex in marriage,unknown,University of Texas at Austin Paper Lab Class Collection,B3C6B,Text,,English,,,,,
sg016,DSC_5212.tif,,Picnic in Nature,unknown,undated,"Ten people sit at a banquet table outside under trees.  Bottles and plates are strewn across the table.  A woman observes the banquet from behind a tree.  The stereocard is hand colored and in overall good condition, aside from a crease down the middle, right between the two photos.",Picnics; Parties; Food,unknown,University of Texas at Austin Paper Lab Class Collection,B3C12,Image; Hand-colored photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg016b,DSC_5214.tif,,Picnic in Nature (verso),unknown,undated,"Stamped on bottom  right-hand side reads ""PORTER COLLECTION"" and appears to be a later addition.",Picnics; Parties; Food,unknown,University of Texas at Austin Paper Lab Class Collection,B3C12B,Stamp; Ink,,English,,,,,
sg017,DSC_5216.TIF,,A Tempting Morsel,"Underwood & Underwood, Publishers",1902,"Four women sit around a table, laughing and leaning in close to each other.  Vertical text on the left-hand side reads Underwood & Underwood, Publishers.  New York, London, Toronto-Canada, Ottawa-Kansas.""  Vertical text on the right-hand side reads ""Vertical text on the right-hand side reads ""Works and Studios~Arlington, N.J. Westwood, N.J.""  In this text there is text within sun rays that reads ""Sun Sculpture Trade Mark."" Steroscope is in good condition with only a crease to the top right corner of the right photograph and slight fading.",Laughter; Women; Food,unknown,University of Texas at Austin Paper Lab Class Collection,B3C5,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg018,DSC_5220.tif,,550A. Eavesdroppers. Die Horcher.,Littleton View Co. Publishers,1891,"A man crawls up a long, thin board propped up against a wooden fence while his wife pushes him with a broom to get a look over the fence at the neighbors.  Vertical text on the left-hand side reads "" Littleton View Co., Publishers.  Littleton N.H.""  Vertical text on the right-hand side reads ""Sold only by Underwood & Underwood, Liverpool,-New York,-Chicago,-Toronto,-Ottawa,Kas,-ElPaso,Tex."" Text below left-hand photograph reads ""Copyright, 1891. by Littleton View [C]o.""  Text under the right-hand photograph reads 550A Eavesdroppers.  Die Horcher.""  Stereocard is faded, but otherwise undamaged. ",Eavesdropping; Neighbors,unknown,University of Texas at Austin Paper Lab Class Collection,B3C4,Image; Sepia photograph,image/TIFF,"English, German",,,,,PLC (Paper Lab Collection)
sg019,DSC_5224.TIF,,"American Falls, Niagara From Goat Island.",unknown,undated,"* A view of Niagara Falls from Goat Island.  Text below the right-hand photograph reads ""American Falls, Niagara From Goat Island.""  Stereocard is hand colored and has some damage; there is wear and a tear to the top right-hand corner, the bottom right-hand corner is missing, and there is a crease, along with wear along the left-hand side.",Niagara Falls,unknown,University of Texas at Austin Paper Lab Class Collection,B3C9,Image; Hand-colored photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg019b,,,"American Falls, Niagara From Goat Island. (verso)",unknown,undated,"Text reads ""AROUND THE WORLD
WITHOUT LEAVING YOUR HOME--JUST LIKE BEING THERE.
Tours to all parts of the world.  Save these colored stereoscopic views from Pettjohn packages : arrange them into series and shortly you will have a library of World Tours of Original Views of immense interest, instructive and entertaining.  Such a collection or library of views in a great education for children.  The follow-ing is our first list of subjects in four series.  These will be followed by tours through different countries. 
UNITED STATES. 
Royal Arches.  Yosemite Valley, Cal.
American Falls, Niagara from Goat Island.
The Old Trestle, Golden Gate Canon
Under the Live Oaks of a Florida Highway.
Luna Isle and Bridge--Niagara Falls.
Randolph St. Bridge, eastward, Chicago, Ill.
Bridal Veil Falls and Three Graces, Yosemite.
Grant's Tomb, Riverside Drive, New York, N.Y.
Model Yachts on lake, Central Park, New York.
The Famous Wawona Tunnel Tree and Coach, Cal.
JAPAN.
Lake Biwa Canal.
Japanese Fishermen at Wharf in Yokohama.
Yokohama.  Four Maids at Chrysanthemum Show.
Japanese Maidens having a jolly tea party.
A busy scene in the rice fields near Yokohama.
Entrance to Asakusa Temple at Tokyo.
Front of the Yakushi Temple at Nikko.
Golden Pavillion on the lake at Kinkakuji.
ST. LOUIS EXPOSITION
Bird's Eye View.
Electricity Building.
Festival Hall.
Grand Fountain.
Plaza.
Grand Basin.
On the Pike.
Central Cascade.
West Lagoon.
General View of the Pike.
RUSSIA.
Busy Scene in the Market Place, St. Petersburg.
The Peterhof Palace, summer house of the Czar.
Imperial Fountain before Peterhof Palace.
Tower and Redeemer Gate to the Kremlin, Moscow.
Church of our Saviour and Stone Arch, Moscow.
One of Russia's Powerful Cruisers.
Old Palace in Moscow occupied by Napoleon.
Peasant-thronged Market Place at Warsaw.
",,,,,Text,,,,,,,
sg020,DSC_5229.TIF,,367. The Texas Building,unknown,undated,"*An exterior view of the Texas Building through trees.  There is a group of five adults and four children walking in front of the buidling.  Text below right-hand photograph reads ""367. The Texas Buidling.""  Stereocard has wear along the edges throughout, along with creases at the top and bottom middle.",*Texas Buidling,,University of Texas at Austin Paper Lab Class Collection,B3C9,Image; Hand-colored photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg020b,DSC_5231.TIF,,367. The Texas Building (verso),unknown,undated,"Centered text reads ""No. 367. THE TEXAS BUILDING
The Lone Star State made its symbol the ground plan of its building, and it must be said that the effect was beautiful as it was unique.  From a central, pentagonal, domed tower five wings extended, running to blunt points ending in loggias, each ornamented with two lofty Corinthian columns.  From point to point the distances were 234 feet, which gives an idea of the large size of the building.  The top of the dome, crowned by the statue of Liberty, was 144 feet above the ground.  The cost of erecting the building amounted to $45,000.  The architects succeeded admirably in adapting the style of the exterior to the general idea, certainly not an easy problem to solve.  The inner arrangement was distinguished by an abundance of light.  In the finishing of the rooms native woods and marbles were extensively used, and the five-pointed star was conspicuous as an elements of the decorations.
A8523""",Travel; Texas; Architecture,,,B3C9B,Text,,,,,,,
sg021,DSC_5233.TIF,,The Majesty and Beauty of Niagara No. 646 ,E. & H. T. Anthony & Co.,undated,A Terrapin Tower and part of Show Fall from Goat Island.  The stereocard has overall dicoloration and foxing.,Niagara Falls,Niagara Falls,University of Texas at Austin Paper Lab Class Collection,B1C4,Image; Sepia photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg021b,DSC_5236.TIF,,The Majesty and Beauty of Niagara No. 646 (verso),E. & H. T. Anthony & Co.,undated,"A paper is attached and reads ""THE MAJESTY AND BEAUTY OF NIAGARA
No. 646
Instantaneous
Terrapin Tower and part of Horse Shoe Fall from Goat Island.
PUBLISHED BY E. & H. T. ANTHONY & Co.
American and Foreign Stereoscopic Emporium, 501 Broadway, New-York.",Niagara Falls,Niagara Falls,University of Texas at Austin Paper Lab Class Collection,B1C4B,Text,,,,,,,
sg022,DSC_5240.TIF,,Italie,"Edition, L.L.",undated,"A building in Italy (Venice ?) on the water.  Text at at top middle reads ""Italie"" and ""(1) at the bottom middle.  Text at the left- and right-hand side reads ""Edition L.L,"" bordered by filigree.  Filigree and a floral motif borders around and between both photographs.  Stereocard has overall discoloration and foxing.",Italy,Italy,University of Texas at Austin Paper Lab Class Collection,B3C13,Image; Hand-colored photograph,image/TIFF,French,,,,,PLC (Paper Lab Collection)
sg022b,DSC_5241.TIF,,Italie (verso),"Edition, L.L.",undated,A building in Italy (Venice ?) on the water.  Stereocard is hand-colored and has overall discoloration and foxing.,Italy,Italy,University of Texas at Austin Paper Lab Class Collection,B3C13B,Image; Hand-colored photograph,image/TIFF,French,,,,,
sg022i,DSC_5277_2.TIF,,Italie (illuminated),"Edition, L.L.",undated,A building in Italy (Venice ?) on the water.  Stereocard is hand-colored and has overall discoloration and foxing.,Italy,Italy,University of Texas at Austin Paper Lab Class Collection,B3C13L,Image; Hand-colored photograph,image/TIFF,French,,,,,
sg023,DSC_5242.TIF,,"8--Top of Starved Rook, Looking East","D.W.S. Rawson, Photographer.",undated,"A woman sits on the ground, looking out over a body of water and islands.  The sterocard has overall dicoloration and fading, along with wear to all edges and corners.",Illinois; Travel,"Starved Rook, Illinois",University of Texas at Austin Paper Lab Class Collection,B1C3,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg023b,DSC_5243.TIF,,"8--Top of Starved Rook, Looking East (verso)","D.W.S. Rawson, Photographer.",undated,"Text reads"" The Valley of the Illinois.
From Rawson's Stereoscopic Publishing House of Western Scenery, Peru, Ills.
STARVED ROCK.
STARVED ROCK, La Salle County, Ills. near the foot of the rapids of the Illinois, is a perpendicular mass of lime and sandstone washed by the current at its base and elevated one hundred and fifty feet.  The di-ameter of its surface is about one hundred feet, with a slope extending to the adjoining bluff from which it alone is accessible.
Tradition says that after the Illinois Indian had killed the Pontiac, the great Indian chief of the northern Indians made war upon them.  A[b]and of the Illinois in attempting to escape, took shelter on this rock, which they soon made inaccessible to their enemies, and where they were closely besieged.  They had se-cured provisions, but their only resource for water was letting down vessels with bark ropes to the river.  The wiley besieger contrived to come in canoes under the rock and cut off their buckets by which means the unfortunate Illinois were starved to death.  Many years after, their bones were whitening on the summit.
D.W.S. RAWSON, Photographer.""
Stamp at the bottom reads ""PORTER COLLECTION"" and is a later addition.",Illinois; Travel,"Starved Rook, Illinois",University of Texas at Austin Paper Lab Class Collection,B1C3B,"Text
Stamp; Ink",,,,,,,
sg024,DSC_5244.TIF,,"Brooklyn Bridge.  Near View.  U.S.A.
El Puente de Brooklyn, en Nueva York.",Strohmeyer & Wyman,undated,"A close view of the Brooklyn Bridge with boats in front.  Vertical text on the left-hand side reads ""Strohmeyer & Wyman, Publishers, New York, N.Y.""  Vertical text along the right-hand side reads "" Sold only by Underwood & Underwood.  Liverpool,-New York,-Chicago,-Toronto,-Ottawa,Kas,-ElPaso, Tex.""  Text under the right-hand photographs reads ""Brooklyn Bridge.  Near View.  U.S.A. El Puente de Brooklyn, en Nueva York."" Stereocard has overall fading and discoloration, along with four small, dark spots.",Brooklyn Bridge; New York; Travel,"Brooklyn, New York",University of Texas at Austin Paper Lab Class Collection,B1C2,Image; Sepia photograph,image/TIFF,"English, Spanish",,,,,PLC (Paper Lab Collection)
sg025,DSC_5246.TIF,,"Broadway, N.Y.",unknown,undated,"An aerial view of Broadway.  Crowds line the sidewalks as a procession makes its way down the street.  Vertical text along the left-hand side reads ""New Series"" with an ""H"" in a rhombus shape in between the two words.  Vertical text on the right-hand side reads ""New York City."" Stereocard has overall fading and discoloration, but is otherwise in good condition.",Broadway; New York; Travel,New York,University of Texas at Austin Paper Lab Class Collection,B1C1,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg0026,DSC_5249.TIF,,"177 The North Side of Luna Park, Coney Island, New York City.",unknown,undated,"A view from above of the north side of Luna Park on Coney Island.  People stroll on the sidewalks and crowds look out over a body of water.  Text below the right-hand photograph reads ""177 The North Side of Luna Park, Coney Island, New York City."" Stereocard is handcolored and in very good condition.",Coney Island; New York; Travel,"Coney Island, New York",University of Texas at Austin Paper Lab Class Collection,B3C10,Image; Hand-colored photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg027,DSC_5251.TIF,,111 Under the Live Oaks of a Florida Highway.,unknown,undated,"A small crowd stands under large trees, arching over a dirt road.  Text below the right-hand photograpth reads ""111 Under the Live Oaks of a Florida Highway.""  Stereocard is handcolored and in overall very good condition, with only minor scratches that do not affect the photographs.",Florida; Travel; Live Oaks,Florida,University of Texas at Austin Paper Lab Class Collection,B3C7,Image; Hand-colored photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg028,DSC_5253.TIF,,Formation at Mammoth Hot Springs.,"F. Jay Haynes, Official Photograher, N.P.R.R.",undated,"A man sits in a pool of water in a rock formation at Mammoth Hot Springs, during the winter, with bare trees around the pool.  Vertical text on the left- and right-hand sides reads ""YELLOWSTONE NATIONAL PARK, PUBLISHED BY F. JAY HAYNES.""  Text below the right-hand photograph reads ""FORMATION AT MAMMOTH HOT SPRINGS. YELLOWSTONE NATIONAL PARK.""  ""1250"" is scratched into the bottom left corner of the right-hand photograph.  Stereocard has discoloration on the photographs, but is otherwise in good condition. ",Yellowstone; Hot Springs; Travel,Yellowstone National Park,University of Texas at Austin Paper Lab Class Collection,B1C2,Image; Sepia photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
